index,word,품사,,
729,있게,Adjective,,
733,내,Noun,,
736,중심,Noun,Punctuation,
742,함께,Adverb,,
743,미,Adjective,,
744,래,Josa,,
747,꿈꿔,Verb,,
748,나가며,Verb,,
755,즐기고,Verb,,
757,있습니다,Adjective,,
761,단박,Noun,,
763,떠오른,Verb,,
764,천재,Noun,,
765,스타,Noun,,
768,세상,Noun,,
770,사는,Verb,,
771,여느,Noun,,
772,누구,Noun,,
774,차근차근,Noun,,
775,계단,Noun,,
777,밟아,Verb,,
778,올라가는,Verb,,
780,이라고,Josa,,
787,아득한,Adjective,,
791,오르고,Verb,,
792,있다고,Adjective,,
796,최고,Noun,,
798,오르지도,Verb,,
803,성공,Noun,,
805,방법,Noun,,
806,이나,Noun,,
807,노하우,Noun,,
809,알려,Verb,,
810,드리는,Verb,,
813,무리,Noun,,
817,압,Noun,,
818,니,Josa,,
823,단지,Noun,,
829,다른,Noun,,
835,이라는,Josa,,
841,당신,Noun,,
843,든든한,Adjective,,
844,친구,Noun,,
846,되었으면,Verb,,
852,이뤄,Verb,,
853,나가는,Verb,,
858,희망,Noun,,
860,증거,Noun,,
862,된다면,Verb,,
864,바랄,Verb,,
867,없습니다,Adjective,,
870,다음,Noun,,
871,주면,Verb,,
872,스프링,Noun,,
873,캠프,Noun,,
878,맞이,Noun,,
879,할,Verb,,
886,오프,Noun,,
887,기간,Noun,,
896,추억,Noun,,
898,볼,Noun,,
900,있어,Adjective,,
902,에겐,Josa,,
909,기억,Noun,,
913,시대,Noun,,
915,계획,Noun,,
920,토대,Noun,,
922,되었고요,Verb,,
924,여러분,Noun,,
926,어떤,Adjective,,
930,있었는지요,Adjective,,
932,또,Noun,,
933,새로,Adjective,,
934,다가올,Verb,,
939,모습,Noun,,
940,인가요,Josa,,
945,놓인,Verb,,
951,즐길,Verb,,
954,데,Noun,,
958,쓴,Verb,,
960,보잘,Verb,,
966,이나마,Josa,,
972,영광,Noun,,
973,이란,Noun,,
976,해봅니다,Verb,,
979,어머니,Noun,,
981,4,Number,,
982,차선,Noun,,
983,도로,Noun,,
985,건너다가,Verb,,
986,끝내,Noun,,
987,헛,Noun,,
988,구역질,Noun,,
991,말았다,Verb,,
993,내리쬐는,Verb,,
994,애리조나,Noun,,
996,태양,Noun,,
999,이긴,Verb,,
1001,이다,Josa,,
1003,나,Noun,,
1006,께,Josa,,
1007,시원한,Adjective,,
1008,물,Noun,,
1010,건넨,Verb,,
1011,뒤,Noun,,
1013,그늘,Noun,,
1015,앉을,Verb,,
1018,자리,Noun,,
1020,마련,Noun,,
1021,했다,Verb,,
1023,그리고는,Verb,,
1024,건너편,Noun,,
1025,야외,Noun,,
1026,의자,Noun,,
1028,돌아가,Verb,,
1030,먹고,Verb,,
1031,있던,Adjective,,
1032,버거,Noun,,
1034,아무렇지도,Adjective,,
1035,않게,Verb,,
1036,마저,Noun,,
1037,삼켰다,Verb,,
1041,곁,Noun,,
1043,계시던,Adjective,,
1044,아버지,Noun,,
1046,이런,Adjective,,
1047,곳,Noun,,
1049,큰아들,Noun,,
1051,둘,Noun,,
1053,없다고,Adjective,,
1054,울먹이며,Verb,,
1055,말,Noun,,
1056,했으나,Verb,,
1060,결단,Noun,,
1064,듯,Noun,,
1065,묵묵히,Adjective,,
1067,쳐다볼,Verb,,
1068,뿐이었다,Adjective,,
1071,2001년,Number,,
1076,땅,Noun,,
1080,들였을,Verb,,
1088,포기,Noun,,
1090,남김없이,Adverb,,
1091,말려,Verb,,
1092,죽일,Verb,,
1093,기세,Noun,,
1095,목,Noun,,
1098,따라,Verb,,
1099,붙는,Verb,,
1100,따가운,Adjective,,
1101,햇빛,Noun,,
1106,지인,Noun,,
1108,명,Noun,,
1109,없이,Adverb,,
1110,혈혈,Noun,,
1111,단신,Noun,,
1114,남겨졌던,Verb,,
1115,당시,Noun,,
1118,상황,Noun,,
1121,녹록,Verb,,
1122,지,Verb,,
1123,않았다,Verb,,
1126,밖에,Josa,,
1127,몰라,Verb,,
1128,멋,Noun,,
1129,내는,Verb,,
1132,사치,Noun,Punctuation,
1133,라,Josa,,
1141,간다,Noun,,
1143,사실,Noun,,
1145,들떠,Adjective,,
1147,부산,Noun,,
1149,제일,Noun,,
1150,유행,Noun,,
1154,꽉,Noun,,
1155,끼는,Verb,,
1156,바지,Noun,,
1158,티셔츠,Noun,,
1160,입고,Verb,,
1162,행,Noun,,
1163,비행기,Noun,,
1165,오를,Verb,,
1166,정도,Noun,,
1168,아무,Noun,,
1171,모르던,Verb,,
1172,소년,Noun,,
1173,이었다,Verb,,
1175,입국,Noun,,
1176,장,Noun,,
1178,도착,Noun,,
1180,수속,Noun,,
1182,밟고,Verb,,
1186,옷차림,Noun,,
1190,측,Suffix,,
1195,게이,Noun,,
1196,아니냐,Adjective,,
1199,수군댔다는데,Verb,,
1205,조차,Noun,,
1206,놓칠,Verb,,
1208,영어,Noun,,
1209,에도,Josa,,
1210,문외한,Noun,,
1213,오로지,Adverb,,
1221,담,Noun,,
1224,만으로,Josa,,
1225,건너,Noun,,
1226,왔고,Verb,,
1232,충분하리라,Adjective,,
1235,풋,Noun,,
1236,익은,Verb,,
1237,야구선수,Noun,,
1238,였다,Verb,,
1241,고등학생,Noun,,
1243,되었을,Verb,,
1246,학교,Noun,,
1248,백차승,Noun,,
1249,선배,Noun,,
1253,스카우트,Noun,,
1257,실제,Noun,,
1259,보게,Verb,,
1261,한국,Noun,,
1265,세계,Noun,,
1267,있,Adjective,,
1268,음,Noun,,
1270,어렴풋이,Adverb,,
1273,되었고,Verb,,
1274,TV,Alpha,,
1276,나오는,Verb,,
1277,박찬호,Noun,,
1285,즉,Noun,,
1292,구체,Noun,,
1293,적,Noun,,
1297,됐다,Verb,,
1299,어렸을,Verb,,
1302,해도,Noun,,
1304,프로,Noun,,
1308,였고,Verb,,
1309,인터넷,Noun,,
1312,매체,Noun,,
1317,빠르게,Adjective,,
1318,해외,Noun,,
1319,소식,Noun,,
1321,실어,Noun,,
1322,나르던,Verb,,
1325,아니,Adjective,,
1326,어서,Noun,,
1327,이웃,Noun,,
1328,나라,Noun,Punctuation,
1329,일본,Noun,,
1331,수준,Noun,,
1334,높다는,Adjective,,
1335,걸,Noun,,
1338,였지,Verb,,
1339,외국,Noun,,
1342,보지,Noun,,
1345,듣지도,Verb,,
1351,시기,Noun,,
1362,연고,Noun,,
1365,롯데,Noun,,
1366,자이언츠,Noun,,
1368,가는,Verb,,
1373,로서,Noun,,
1376,수순,Noun,,
1382,터지기,Verb,,
1388,선전,Noun,,
1393,보느라,Verb,,
1394,밤잠,Noun,,
1396,설치는,Adjective,,
1400,만들,Verb,,
1403,우리,Noun,,
1408,알리,Noun,,
1410,우리나라,Noun,,
1413,저력,Noun,,
1418,깨워,Verb,,
1419,주는,Verb,,
1421,일조,Noun,,
1422,했다고,Verb,,
1424,한다,Verb,,
1433,어깨,Noun,Punctuation,
1435,나란히하는,Adjective,,
1438,대단했지만,Adjective,,
1443,흥분,Noun,,
1444,되,Verb,,
1446,만든,Verb,,
1452,플레이,Noun,,
1464,자잘한,Adjective,,
1465,재미,Noun,,
1467,없지만,Adjective,,
1471,꿈꾸던,Verb,,
1474,뭔가,Noun,Punctuation,
1475,묵직한,Adjective,,
1478,느껴졌다,Verb,,
1480,스포츠,Noun,,
1481,경기,Noun,,
1483,역사,Noun,,
1485,철학,Noun,,
1487,느껴진다고,Verb,,
1488,해야,Verb,,
1489,할까,Verb,,
1491,이를,Verb,,
1492,악물고,Verb,Punctuation,
1496,꼭,Noun,,
1497,이겨야,Verb,,
1498,의미,Noun,,
1500,있었던,Adjective,,
1506,와는,Josa,,
1507,확,Noun,,
1508,연히,Adjective,,
1515,얻기까지의,Verb,,
1516,과정,Noun,,
1520,두는,Verb,,
1521,여유,Noun,,
1528,보며,Verb,,
1529,나도,Verb,,
1530,저기,Noun,,
1534,하면,Verb,,
1535,어,Eomi,Punctuation,
1536,떨까,Verb,,
1540,들었다,Verb,,
1543,한창,Noun,,
1552,그런지,Adjective,,
1559,부터는,Josa,,
1566,높아졌다,Verb,,
1568,운동,Noun,,
1572,이후,Noun,,
1579,단,Noun,,
1580,하루,Noun,,
1584,빠지지,Verb,,
1591,순위,Noun,,
1593,올려,Verb,,
1594,두며,Verb,,
1604,순수한,Adjective,,
1605,열정,Noun,,
1607,이었을까,Verb,,
1610,넓고,Adjective,,
1611,깊은,Adjective,,
1618,호기심,Noun,,
1620,열망,Noun,,
1623,속,Noun,,
1625,차오르기,Verb,,
1629,무모하리만큼,Adjective,,
1634,가득했기에,Adjective,,
1635,도전,Noun,,
1638,두려움,Noun,,
1639,보다는,Josa,,
1642,가보지,Verb,,
1643,않은,Verb,,
1644,길,Noun,,
1646,가보고,Verb,,
1647,싶었고,Verb,,
1648,남,Noun,,
1650,과는,Josa,,
1652,특별한,Adjective,,
1655,보여주고,Verb,,
1656,싶었다,Verb,,
1659,그때,Noun,,
1663,막연히,Adjective,,
1669,꾸며,Verb,,
1670,조용히,Adjective,,
1671,진로,Noun,,
1673,결정,Noun,,
1679,이지,Noun,,
1680,어떻게,Adjective,,
1682,갈수,Noun,,
1683,있고,Adjective,,
1685,가서,Verb,,
1687,일이,Modifier,,
1688,생기는지,Verb,,
1690,길은,Adjective,,
1691,없었다,Adjective,,
1693,먼저,Noun,,
1694,간,Noun,,
1698,기사,Noun,,
1700,실린,Verb,,
1701,신문,Noun,,
1702,만이,Josa,,
1703,유일한,Adjective,,
1704,단서,Noun,,
1707,틈틈이,Noun,,
1711,챙겨,Verb,,
1720,탈,Noun,,
1722,있을까,Adjective,,
1724,했지만,Verb,,
1729,펼쳐진,Verb,,
1732,집중,Noun,,
1735,외,Noun,,
1736,엔,Josa,,
1740,달리,Noun,,
1741,시도,Noun,,
1749,차근히,Adjective,,
1750,실력,Noun,,
1752,쌓아가던,Verb,,
1757,온,Noun,,
1760,고등학교,Noun,,
1761,3,Number,,
1762,학년,Noun,,
1764,되던,Verb,,
1765,해였다,Verb,,
1768,연속,Noun,,
1769,국내,Noun,,
1770,고교,Noun,,
1772,대회,Noun,,
1776,다니던,Verb,,
1780,우승,Noun,,
1783,MVP,Alpha,,
1785,수상한,Noun,,
1789,구단,Noun,,
1791,극,Modifier,,
1792,동,Modifier,,
1793,담당,Noun,,
1794,스카,Noun,,
1795,우,Adverb,,
1796,터,Noun,,
1799,주목,Noun,,
1811,테스트,Noun,,
1814,연,Noun,,
1817,들어왔다,Verb,,
1819,볼티모어,Noun,,
1821,텍사스,Noun,,
1822,등,Noun,,
1823,약,Noun,,
1824,8,Number,,
1825,개,Noun,,
1829,의사,Noun,,
1831,밝혔지만,Verb,,
1836,연락,Noun,,
1838,닿은,Verb,,
1841,시애틀,Noun,,
1842,매리너스,Noun,,
1848,운동장,Noun,,
1852,진행,Noun,,
1853,되었다,Verb,,
1858,투수,Noun,,
1859,포지션,Noun,,
1861,활약,Noun,,
1863,있었기,Adjective,,
1866,당연히,Adjective,,
1871,보기,Noun,,
1873,바랬던,Noun,,
1876,투구,Noun,,
1877,장면,Noun,,
1890,잠시,Noun,,
1893,잠겼다가,Verb,,
1895,스윙,Noun,,
1897,요구,Noun,,
1900,뜻밖,Noun,,
1904,의아,Noun,,
1906,당황,Noun,,
1907,스러울,Adjective,,
1914,자신감,Noun,,
1919,인기,Noun,,
1921,끌며,Verb,,
1922,승승장구,Noun,,
1929,모두,Noun,,
1931,였기에,Verb,,
1932,왜,Noun,,
1934,주문,Noun,,
1936,하는지,Verb,,
1939,앞섰다,Verb,,
1948,에는,Josa,,
1950,미치는,Adjective,,
1951,걸까,Verb,,
1952,?’,Punctuation,,
1956,번쩍,Noun,,
1959,위축,Noun,,
1960,되기,Verb,,
1961,딱,Adverb,,
1967,여기,Noun,,
1969,약한,Adjective,,
1972,보,Noun,,
1980,크고,Verb,,
1981,간절했다,Adjective,,
1984,떻,Noun,,
1986,든,Verb,,
1987,해내자는,Verb,,
1990,마인드,Noun,,
1991,컨트롤,Noun,,
1994,크게,Noun,,
1995,심호흡,Noun,,
1998,번,Noun,,
2001,타석,Noun,,
2003,올랐다,Verb,,
2006,아마추어,Noun,,
2012,타격,Noun,,
2015,했기에,Verb,,
2016,평소,Noun,,
2017,대로,Noun,,
2020,해낼,Verb,,
2023,아니라고,Adjective,,
2033,보여주면,Verb,,
2034,된다고,Verb,,
2037,외웠다,Verb,,
2039,결의,Noun,,
2041,가득,Noun,,
2042,찬,Noun,,
2045,통한,Noun,,
2047,?,Punctuation,,
2053,홈런,Noun,,
2055,쳤다,Verb,,
2058,담장,Noun,,
2060,훌쩍,Noun,,
2061,넘어간,Verb,,
2063,번째,Suffix,,
2065,덕,Noun,,
2069,붙었는지,Verb,,
2079,보여줄,Verb,,
2081,있었다,Adjective,,
2088,베이스,Noun,,
2089,러닝,Noun,,
2090,속도,Noun,,
2095,점검,Noun,,
2098,만족스러운,Adjective,,
2099,웃음,Noun,,
2101,지으며,Verb,,
2102,돌아갔다,Verb,,
2108,얼마,Noun,,
2110,캐나다,Noun,,
2111,에드먼턴,Noun,,
2113,열린,Verb,,
2114,〈,Foreign,,
2116,19회,Number,,
2118,청소년,Noun,,
2120,선수권,Noun,,
2122,〉,Foreign,,
2124,국가대표,Noun,,
2132,및,Noun,,
2133,계약,Noun,,
2134,성사,Noun,,
2136,주효,Noun,,
2140,국가대표팀,Noun,,
2143,겸,Noun,,
2144,타자,Noun,,
2148,서서,Noun,,
2151,최우수,Noun,,
2153,상,Noun,,
2155,받은,Verb,,
2160,계,Noun,,
2162,이름,Noun,,
2169,에서의,Josa,Punctuation,
2171,결과,Noun,,
2173,두고,Verb,,
2175,매일,Noun,,
2179,참관,Noun,,
2183,스카웃,Noun,,
2187,무대,Noun,,
2191,확신,Noun,,
2196,간의,Noun,,
2197,고려,Noun,,
2201,계약금,Noun,,
2202,135만,Number,,
2203,달러,Noun,,
2212,금액,Noun,,
2218,기다렸던,Verb,,
2221,기쁘게,Adjective,,
2222,웅했다,Noun,,
2227,해온,Verb,,
2233,외야수,Noun,,
2235,정리,Noun,,
2236,되었지만,Verb,,
2238,또한,Noun,,
2242,받아들여야,Verb,,
2254,제시,Noun,,
2256,의리,Noun,,
2258,중요시,Noun,,
2264,돈,Noun,,
2266,선약,Noun,,
2269,가능성,Noun,,
2272,알아봐,Verb,,
2273,준,Noun,,
2274,신의,Noun,,
2281,권했고,Verb,,
2287,맞다고,Verb,,
2288,판단,Noun,,
2295,진출,Noun,,
2297,위,Noun,,
2300,첫걸음,Noun,,
2303,세간,Noun,,
2305,평가,Noun,,
2307,그리,Verb,,
2308,우호,Noun,,
2312,만은,Josa,,
2313,아니었다,Adjective,,
2316,나와,Verb,,
2317,쌍벽,Noun,,
2319,이루던,Verb,,
2320,대구,Noun,,
2321,상고,Noun,,
2322,이정호,Noun,,
2327,비교,Noun,,
2329,당했다,Adjective,,
2337,좌완,Noun,,
2339,하,Exclamation,,
2341,추신수,Noun,,
2343,우완,Noun,,
2352,그랬을,Adjective,,
2363,러브콜,Noun,,
2365,있었기에,Adjective,,
2368,서로,Noun,,
2370,행보,Noun,,
2380,받는,Verb,,
2383,당연한,Adjective,,
2391,졸,Noun,,
2392,신인,Noun,,
2394,3억,Number,,
2395,원,Noun,,
2398,넘긴,Verb,,
2399,5억,Number,,
2400,여,Noun,,
2403,받고,Verb,,
2404,삼성,Noun,,
2411,맞게,Verb,,
2413,대적,Noun,,
2417,컸다,Verb,,
2419,반면,Noun,,
2425,유출,Noun,,
2427,우려,Noun,,
2429,표,Noun,,
2435,안정,Noun,,
2440,물리,Noun,,
2441,친,Noun,,
2445,걱정,Noun,Punctuation,
2447,많이,Adverb,,
2448,표시,Noun,,
2455,돌이켜,Verb,,
2456,보면,Verb,,
2460,영,Noun,,
2461,입하,Noun,,
2467,눈물,Noun,,
2468,겨운,Verb,,
2477,봤을,Verb,,
2480,대단했다,Adjective,,
2487,1년,Number,,
2488,내내,Noun,,
2489,대,Verb,,
2493,물심,Noun,,
2494,양면,Noun,,
2496,전,Noun,,
2497,폭,Noun,Punctuation,
2502,했다는,Verb,,
2505,들렸다,Verb,,
2509,비해,Verb,,
2511,1,Number,,
2513,지명,Noun,,
2517,태도,Noun,,
2521,좀,Noun,,
2525,이었다고,Verb,,
2540,입단,Noun,,
2545,했었는지,Verb,,
2549,당,Noun,,
2551,스런,Adjective,,
2554,무심하게,Adjective,,
2555,여겨졌다,Verb,,
2557,이미,Adverb,,
2563,정해,Noun,,
2564,두었기에,Verb,,
2565,서운한,Adjective,,
2568,잠시였고,Verb,,
2570,대신,Noun,,
2574,시점,Noun,,
2577,천거,Noun,,
2578,하지,Verb,,
2580,아,Exclamation,,
2581,달라,Noun,,
2582,정중히,Adjective,,
2595,결국,Adverb,,
2607,탄탄,Noun,,
2608,대로의,Josa,,
2609,미래,Noun,,
2612,버린,Verb,,
2614,선택,Noun,,
2618,목소리,Noun,,
2620,들리는,Verb,,
2623,어찌,Noun,,
2625,당연했다,Adjective,,
2631,어로,Noun,,
2633,변신,Noun,,
2635,360,Number,,
2637,바뀔,Verb,,
2638,환경,Noun,,
2646,조건,Noun,,
2651,없었으니까,Adjective,,
2657,이라곤,Josa,,
2660,투지,Noun,,
2665,워낙,Noun,,
2667,강렬했던,Adjective,,
2668,탓,Noun,,
2669,인지,Noun,,
2670,미지,Noun,,
2674,떠나는,Verb,,
2678,타인,Noun,,
2684,약간,Noun,,
2686,질타,Noun,,
2687,따위,Noun,,
2689,전혀,Noun,,
2690,들리지,Verb,,
2693,익숙한,Adjective,,
2700,단련,Verb,,
2702,목말,Noun,,
2705,내게,Verb,,
2706,오히려,Noun,,
2707,오기,Noun,,
2709,발동,Noun,,
2710,시켰을지도,Verb,,
2711,모른다,Verb,,
2726,반응,Noun,,
2738,6,Number,,
2740,월간,Noun,,
2749,였으나,Verb,,
2752,여전히,Adjective,,
2759,있다는,Adjective,,
2762,흥분했고,Adjective,,
2764,이는,Verb,Punctuation,
2766,그릇,Noun,,
2770,만들어,Verb,,
2771,줄,Noun,,
2777,의심,Noun,,
2779,여지,Noun,,
2785,가야,Noun,,
2791,후회,Noun,,
2793,없다,Adjective,,
2797,되자는,Verb,,
2798,내면,Noun,,
2800,울림,Noun,,
2804,새기고,Verb,,
2807,그렇기에,Adjective,,
2817,경쟁,Noun,,
2821,두렵지,Adjective,,
