index,word,Word Type,Frequency
7519,현지,Noun,18
2169,라며,Noun,18
2209,레비,#N/A,18
224,개월,Noun,18
3577,사인,Noun,17
4601,어느,Adverb,17
5411,인생,Noun,17
2980,방법,Noun,17
4606,어디,Noun,17
3185,보였다,Verb,17
3988,슈팅,Noun,17
6191,지난,Noun,17
4405,아직,Adverb,17
2410,말았다,Verb,17
3100,벤치,Noun,17
3335,분위기,Noun,17
225,개인,Noun,17
5736,저녁,Noun,17
4407,아침,Noun,17
5642,잔디,Noun,17
6764,케인,Noun,17
6596,최종,Noun,17
2491,맨체스터,Noun,17
585,국가대표,Noun,17
2482,매치,Noun,16
4775,여름,Noun,16
4851,였던,Verb,16
5560,잉글랜드,Noun,16
7015,패배,Noun,16
6966,티노,Noun,16
7649,훨씬,Adverb,16
1963,들어갔다,Verb,16
6265,직전,Noun,16
4403,아주,Noun,16
3760,선수단,Noun,16
5079,우선,Noun,16
5880,제대로,Noun,16
5003,완전히,Adjective,16
72,가장,#N/A,16
3903,솔직히,Adjective,16
419,고민,Noun,16
7290,학년,Noun,16
5050,왼쪽,Noun,16
1195,너무나,Adverb,16
2499,머릿속,Noun,16
7352,합류,Noun,16
459,골문,Noun,16
4769,여기,Noun,16
7087,포체,Noun,16
5530,있어서,Adjective,15
5182,위로,Noun,15
707,근육,#N/A,15
638,그래도,Adverb,15
7543,호주,#N/A,15
6545,체력,Noun,15
5262,이기,Noun,15
3916,수도,Noun,15
730,기간,Noun,15
7521,협상,#N/A,15
4055,승점,Noun,15
2266,리프,Noun,15
5792,전술,Noun,15
1122,났다,Verb,15
2120,뛰고,Verb,15
4687,얼마,Noun,15
3768,선택,Noun,15
7191,하게,Verb,15
516,관리,Noun,15
2857,바람,Noun,15
7544,호텔,Noun,15
7254,하셨다,Verb,15
6728,카타르,#N/A,15
1648,데뷔골,Noun,15
4088,시절,Noun,15
87,가지,Noun,15
2498,머리,Noun,15
3640,상상,Noun,15
5604,자신,Noun,15
4884,예선,#N/A,14
6963,특히,Adverb,14
4637,어린,Verb,14
5861,정신,Noun,14
5575,자기,Noun,14
2458,맞춰,Verb,14
1535,당연히,Adjective,14
164,갔다,Verb,14
4384,아시아,#N/A,14
1171,내용,Noun,14
3800,성용,Noun,14
3571,사용,Noun,14
6403,차출,Noun,14
2717,문제,Noun,14
714,금메달,#N/A,14
3766,선제골,Noun,14
3405,브레이,Noun,14
2226,로부터,Noun,14
